stn,wban,date,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
014930,99999,2022-03-19,2022,03,19,38.2,4,31.5,4,9999.9,0,999.9,0,999.9,0,4.2,4,5.8,12.4,48.0,,29.7,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-01-13,2022,01,13,44.5,4,39.6,4,9999.9,0,999.9,0,999.9,0,12.4,4,14.2,26.4,45.9,,43.2,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-02-23,2022,02,23,35.9,4,33.3,4,9999.9,0,999.9,0,999.9,0,8.2,4,14,27.6,41.2,,27.7,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-02-05,2022,02,05,37.7,4,32.2,4,9999.9,0,999.9,0,999.9,0,11.1,4,16.7,25.8,41.5,,33.3,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-02-09,2022,02,09,40.1,4,32.1,4,9999.9,0,999.9,0,999.9,0,13,4,16.3,28.4,43.0,,36.7,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-02-26,2022,02,26,33.8,4,28.5,4,9999.9,0,999.9,0,999.9,0,5.2,4,8.9,16.7,40.1,,25.2,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-01-19,2022,01,19,39.9,4,33.3,4,9999.9,0,999.9,0,999.9,0,14.1,4,17.5,31.1,43.0,,34.5,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-02-01,2022,02,01,24.0,4,22.1,4,9999.9,0,999.9,0,999.9,0,3.6,4,4.5,999.9,28.2,,18.9,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-04-03,2022,04,03,38.9,4,29.9,4,9999.9,0,999.9,0,999.9,0,5.8,4,8,15.2,44.8,,29.8,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-01-12,2022,01,12,39.2,4,37.0,4,9999.9,0,999.9,0,999.9,0,9.2,4,14.4,24.9,43.7,*,31.8,,0.0,I,999.9,0,0,0,0,0,0
014930,99999,2022-04-05,2022,04,05,35.2,4,20.3,4,9999.9,0,999.9,0,999.9,0,5,4,8.2,22.7,44.1,,28.2,,0.0,I,999.9,0,0,0,0,0,0
023160,99999,2022-01-09,2022,01,09,21.6,4,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,23.0,,18.0,,0.0,I,999.9,0,0,0,0,0,0
023160,99999,2022-01-13,2022,01,13,31.5,4,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,45.3,,18.0,,0.0,I,999.9,0,0,0,0,0,0
023160,99999,2022-02-23,2022,02,23,19.9,4,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,31.8,,-0.9,,0.0,I,999.9,0,0,0,0,0,0
